SW,H,Sell
SW,H,Buy
SW,L,Sell
SW,H,Buy
WMT,L,Buy
SW,L,Sell
HBC,H,Sell
FB,L,Buy
SW,H,Sell
SW,H,Buy
HBC,H,Sell
SW,L,Buy
SW,H,Buy
WMT,L,Sell
WMT,H,Buy
FB,H,Sell
HBC,L,Sell
WMT,H,Sell
HBC,L,Sell
FB,L,Sell
FB,L,Buy
SW,L,Buy
FB,H,Buy
SW,L,Sell
FB,H,Sell
SW,L,Buy
SW,L,Buy
FB,L,Sell
HBC,H,Sell
SW,L,Buy
SW,L,Sell
FB,H,Sell
FB,H,Sell
HBC,H,Buy
SW,H,Sell
HBC,H,Buy
WMT,H,Buy
FB,H,Buy
FB,L,Sell
SW,H,Sell
SW,H,Sell
WMT,L,Sell
HBC,H,Buy
WMT,L,Sell
SW,H,Buy
SW,H,Buy
WMT,H,Sell
SW,L,Sell
FB,H,Buy
WMT,L,Sell
HBC,H,Buy
WMT,L,Buy
HBC,L,Sell
HBC,H,Sell
HBC,H,Sell
SW,L,Buy
FB,L,Buy
WMT,L,Sell
HBC,H,Sell
WMT,H,Buy
SW,H,Sell
FB,L,Buy
WMT,H,Sell
SW,H,Sell
WMT,H,Sell
FB,H,Sell
SW,H,Sell
SW,L,Sell
WMT,H,Sell
FB,H,Buy
FB,H,Sell
WMT,L,Buy
FB,L,Buy
HBC,L,Buy
SW,L,Sell
FB,L,Buy
WMT,H,Buy
WMT,L,Buy
HBC,H,Buy
WMT,H,Sell
HBC,L,Buy
SW,L,Buy
FB,L,Sell
SW,L,Buy
SW,H,Buy
FB,H,Buy
WMT,L,Buy
HBC,H,Sell
WMT,L,Buy
WMT,H,Sell
FB,L,Sell
SW,L,Sell
HBC,H,Sell
WMT,L,Buy
SW,L,Sell
HBC,H,Buy
WMT,H,Buy
FB,H,Sell
WMT,L,Sell
FB,H,Sell
SW,L,Buy
HBC,L,Buy
SW,L,Sell
WMT,H,Buy
SW,H,Sell
SW,H,Buy
SW,H,Sell
SW,H,Buy
WMT,H,Buy
HBC,H,Sell
FB,L,Buy
HBC,L,Buy
HBC,H,Sell
FB,L,Sell
SW,H,Buy
FB,L,Buy
HBC,L,Sell
FB,H,Buy
HBC,L,Buy
SW,L,Sell
SW,H,Buy
HBC,L,Sell
HBC,H,Buy
HBC,L,Buy
SW,H,Sell
HBC,H,Buy
SW,L,Sell
SW,L,Buy
WMT,H,Buy
WMT,H,Buy
HBC,L,Sell
HBC,H,Buy
FB,L,Buy
WMT,L,Buy
FB,H,Buy
FB,H,Sell
HBC,L,Sell
SW,L,Buy
FB,L,Buy
HBC,L,Sell
HBC,L,Sell
WMT,L,Buy
HBC,H,Sell
HBC,L,Sell
HBC,H,Sell
SW,L,Sell
HBC,L,Buy
FB,L,Sell
HBC,H,Sell
HBC,H,Buy
HBC,H,Buy
FB,L,Sell
FB,L,Sell
FB,H,Sell
WMT,L,Buy
SW,L,Buy
HBC,H,Sell
WMT,H,Sell
HBC,H,Sell
WMT,L,Sell
SW,L,Buy
FB,L,Sell
HBC,H,Buy
HBC,H,Sell
HBC,L,Sell
SW,L,Sell
HBC,L,Buy
WMT,L,Buy
FB,L,Buy
SW,H,Buy
FB,H,Buy
SW,H,Buy
WMT,L,Sell
HBC,H,Buy
HBC,H,Sell
HBC,H,Sell
HBC,H,Buy
HBC,H,Sell
HBC,L,Buy
HBC,L,Sell
FB,L,Buy
FB,H,Buy
FB,L,Sell
SW,L,Sell
HBC,H,Buy
HBC,H,Buy
FB,L,Sell
WMT,L,Sell
SW,L,Sell
FB,H,Buy
SW,H,Sell
WMT,H,Buy
FB,H,Sell
SW,H,Sell
FB,L,Buy
FB,H,Buy
FB,L,Sell
WMT,L,Sell
WMT,L,Buy
WMT,L,Sell
SW,H,Buy
FB,H,Buy
SW,L,Sell
WMT,L,Buy
WMT,H,Sell
HBC,L,Buy
WMT,H,Buy
FB,L,Buy
HBC,H,Sell
WMT,H,Sell
SW,H,Sell
WMT,H,Sell
HBC,L,Sell
SW,L,Sell
FB,L,Buy
FB,H,Sell
HBC,H,Buy
WMT,H,Buy
FB,H,Buy
FB,H,Sell
HBC,H,Sell
HBC,H,Sell
FB,L,Buy
WMT,L,Buy
SW,L,Sell
HBC,H,Buy
WMT,H,Buy
HBC,L,Sell
WMT,L,Buy
SW,L,Sell
SW,H,Buy
SW,H,Buy
HBC,L,Buy
WMT,H,Buy
WMT,L,Buy
HBC,H,Buy
WMT,H,Sell
FB,L,Buy
FB,L,Buy
HBC,H,Buy
FB,L,Buy
SW,H,Buy
SW,H,Buy
HBC,H,Sell
WMT,H,Buy
WMT,L,Buy
SW,H,Buy
FB,L,Buy
HBC,L,Sell
SW,H,Buy
HBC,L,Buy
HBC,L,Sell
HBC,H,Buy
SW,H,Buy
FB,L,Sell
HBC,H,Buy
SW,L,Buy
HBC,H,Buy
WMT,H,Buy
WMT,L,Buy
WMT,H,Sell
FB,L,Buy
HBC,L,Buy
FB,L,Buy
WMT,H,Buy
